"m49_code","country","region","cpc_code","commodity","year","loss_percentage","loss_percentage_original","loss_quantity","activity","food_supply_stage","treatment","cause_of_loss","sample_size","method_data_collection","reference","url","notes"
"120","Cameroon",,"0112","Maize (corn)",2021,4,"4",,"Drying","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2021?metric=prc&download=csv",
"120","Cameroon",,"0112","Maize (corn)",2021,2.38196,"2.38196",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2021?metric=prc&download=csv",
"120","Cameroon",,"0113","Rice",2021,1.25,"1.25",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2021?metric=prc&download=csv",
"120","Cameroon",,"0113","Rice",2021,0.403053,"0.403053",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2021?metric=prc&download=csv",
"120","Cameroon",,"0113","Rice",2021,3.13714,"3.13714",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2021?metric=prc&download=csv",
"120","Cameroon",,"0113","Rice",2021,2.5,"2.5",,"Winnowing","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2021?metric=prc&download=csv",
"120","Cameroon",,"0113","Rice",2021,4.40333,"4.40333",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2021?metric=prc&download=csv",
"120","Cameroon",,"0118","Millet",2021,2,"2",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2021?metric=prc&download=csv",
"120","Cameroon",,"0118","Millet",2021,2.5,"2.5",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2021?metric=prc&download=csv",
"120","Cameroon",,"0118","Millet",2021,0.853027,"0.853027",,"Winnowing","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2021?metric=prc&download=csv",
"120","Cameroon",,"0118","Millet",2021,0.72427,"0.72427",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2021?metric=prc&download=csv",
"120","Cameroon",,"0118","Millet",2021,3.5,"3.5",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2021?metric=prc&download=csv",
"120","Cameroon",,"0112","Maize (corn)",2020,2.38196,"2.38196",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2020?metric=prc&download=csv",
"120","Cameroon",,"0112","Maize (corn)",2020,4.93398,"4.93398",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2020?metric=prc&download=csv",
"120","Cameroon",,"0112","Maize (corn)",2020,1.32,"1.32",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2020?metric=prc&download=csv",
"120","Cameroon",,"0112","Maize (corn)",2020,6.42,"6.42",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2020?metric=prc&download=csv",
"120","Cameroon",,"0112","Maize (corn)",2020,4,"4",,"Drying","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2020?metric=prc&download=csv",
"120","Cameroon",,"0113","Rice",2020,3.13714,"3.13714",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2020?metric=prc&download=csv",
"120","Cameroon",,"0113","Rice",2020,4.40333,"4.40333",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2020?metric=prc&download=csv",
"120","Cameroon",,"0113","Rice",2020,1.25,"1.25",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2020?metric=prc&download=csv",
"120","Cameroon",,"0113","Rice",2020,0.403053,"0.403053",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2020?metric=prc&download=csv",
"120","Cameroon",,"0113","Rice",2020,2.5,"2.5",,"Winnowing","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2020?metric=prc&download=csv",
"120","Cameroon",,"0118","Millet",2020,2.5,"2.5",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2020?metric=prc&download=csv",
"120","Cameroon",,"0118","Millet",2020,2,"2",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2020?metric=prc&download=csv",
"120","Cameroon",,"0118","Millet",2020,0.72427,"0.72427",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2020?metric=prc&download=csv",
"120","Cameroon",,"0118","Millet",2020,0.853027,"0.853027",,"Winnowing","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2020?metric=prc&download=csv",
"120","Cameroon",,"0118","Millet",2020,3.5,"3.5",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/CM/all-crops/2020?metric=prc&download=csv",
"120","Cameroon","Boyo","01312","Bananas",2020,15.5,"11 -20%",,"Farm","Farm",,"Over-ripening, poor handling, poor storage","380 households","Survey","Ikwuba, A.A.; Nkwain, K.T.; Nkwi, G E.; Odiaka, E.C. (2022), Analysis of post-harvest losses of banana and the economic wellbeing of farmers in Boyo Division,  North West Region of Cameroon",," Reference has been generated automatically"
"120","Cameroon","Boyo","01312","Bananas",2020,38,"38%","348 tonnes","Farm, Marketing, Storage, Transportation","Whole supply chain",,"Over-ripening, poor handling, poor storage","380 households","Survey","Ikwuba, A.A.; Nkwain, K.T.; Nkwi, G E.; Odiaka, E.C. (2022), Analysis of post-harvest losses of banana and the economic wellbeing of farmers in Boyo Division,  North West Region of Cameroon",," Reference has been generated automatically"
"120","Cameroon","Boyo","01312","Bananas",2020,3,"1 -5%",,"Processing, Ripening","Processing",,"Over-ripening, poor handling, poor storage","380 households","Survey","Ikwuba, A.A.; Nkwain, K.T.; Nkwi, G E.; Odiaka, E.C. (2022), Analysis of post-harvest losses of banana and the economic wellbeing of farmers in Boyo Division,  North West Region of Cameroon",," Reference has been generated automatically"
"120","Cameroon","Boyo","01312","Bananas",2020,8,"6-10%",,"Transportation","Transport",,"Over-ripening, poor handling","380 households","Survey","Ikwuba, A.A.; Nkwain, K.T.; Nkwi, G E.; Odiaka, E.C. (2022), Analysis of post-harvest losses of banana and the economic wellbeing of farmers in Boyo Division,  North West Region of Cameroon",," Reference has been generated automatically"
"120","Cameroon","Boyo","01312","Bananas",2020,8,"6 - 10%",,"Storage","Storage",,"Over-ripening, poor handling, poor storage","380 households","Survey","Ikwuba, A.A.; Nkwain, K.T.; Nkwi, G E.; Odiaka, E.C. (2022), Analysis of post-harvest losses of banana and the economic wellbeing of farmers in Boyo Division,  North West Region of Cameroon",," Reference has been generated automatically"
"148","Chad",,"0111","Wheat",2021,3.5,"3.5",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0111","Wheat",2021,4.43333,"4.43333",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0111","Wheat",2021,2.5,"2.5",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0111","Wheat",2021,3.1,"3.1",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0112","Maize (corn)",2021,6.42,"6.42",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0112","Maize (corn)",2021,4,"4",,"Drying","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0112","Maize (corn)",2021,1.32,"1.32",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0112","Maize (corn)",2021,2.17576,"2.17576",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0112","Maize (corn)",2021,2.39872,"2.39872",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0113","Rice",2021,2.5,"2.5",,"Winnowing","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0113","Rice",2021,4.40333,"4.40333",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0113","Rice",2021,3.13714,"3.13714",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0113","Rice",2021,0.779975,"0.779975",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0113","Rice",2021,1.25,"1.25",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0114","Sorghum",2021,4.55,"4.55",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0114","Sorghum",2021,3.6,"3.6",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0114","Sorghum",2021,2.16667,"2.16667",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0114","Sorghum",2021,1.40734,"1.40734",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0118","Millet",2021,3.5,"3.5",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0118","Millet",2021,2.5,"2.5",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0118","Millet",2021,0.490735,"0.490735",,"Winnowing","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0118","Millet",2021,2,"2",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0118","Millet",2021,0.40605,"0.40605",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2021?metric=prc&download=csv",
"148","Chad",,"0111","Wheat",2020,3.5,"3.5",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0111","Wheat",2020,2.5,"2.5",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0111","Wheat",2020,3.1,"3.1",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0111","Wheat",2020,4.43333,"4.43333",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0112","Maize (corn)",2020,6.42,"6.42",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0112","Maize (corn)",2020,1.32,"1.32",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0112","Maize (corn)",2020,2.17576,"2.17576",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0112","Maize (corn)",2020,2.39872,"2.39872",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0112","Maize (corn)",2020,4,"4",,"Drying","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0113","Rice",2020,1.25,"1.25",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0113","Rice",2020,4.40333,"4.40333",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0113","Rice",2020,2.5,"2.5",,"Winnowing","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0113","Rice",2020,0.779975,"0.779975",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0113","Rice",2020,3.13714,"3.13714",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0114","Sorghum",2020,3.6,"3.6",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0114","Sorghum",2020,2.16667,"2.16667",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0114","Sorghum",2020,4.55,"4.55",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0114","Sorghum",2020,1.40734,"1.40734",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0118","Millet",2020,3.5,"3.5",,"Drying, Harvesting","Harvest",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0118","Millet",2020,0.40605,"0.40605",,"Storage","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0118","Millet",2020,2.5,"2.5",,"Transportation","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0118","Millet",2020,2,"2",,"Shelling, Threshing",,,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"148","Chad",,"0118","Millet",2020,0.490735,"0.490735",,"Winnowing","Farm",,,,"Modelled Estimates",,"https://www.aphlis.net/en/data/tables/value-chain/TD/all-crops/2020?metric=prc&download=csv",
"156","China",,"0111","Wheat",2021,1.867,"1.867%",,"Storage","Storage",,"","","Literature Review","Charlene Li;Phil Bremer;Marie K. Harder;Michael SW. Lee;Kate Parker;Evamaria C. Gaugler;Miranda Mirosa (2021), A systematic review of food loss and waste in china: quantity, impacts and mediators",,"Referenced to Luo et al (2020) Reference has been generated automatically"
